pro_com,comune,zona,data_inizio,data_fine,id_ordinanza,nro_ordinanza,data_ordinanza,PDF,nro_pgg,link_ordinanza,note
84016,Comitini,rossa,2021-03-27,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
84029,Racalmuto,rossa,2021-03-27,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
84042,Siculiana,rossa,2021-03-27,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
82015,Caltavuturo,rossa,2021-03-30,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
82065,San Mauro Castelverde,rossa,2021-03-26,2021-04-06,26-26032021,26,2021-03-26,Testo,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-26-26032021.pdf,
87008,Biancavilla,rossa,2021-03-31,2021-04-14,27-29032021,27,2021-03-29,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,
83025,Francavilla di Sicilia,rossa,2021-03-31,2021-04-14,27-29032021,27,2021-03-29,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,
83029,Gaggi,rossa,2021-03-31,2021-04-14,27-29032021,27,2021-03-29,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,
84038,Santa Margherita di Belice,rossa,2021-03-31,2021-04-14,27-29032021,27,2021-03-29,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,
85004,Caltanissetta,rossa,2021-03-30,2021-04-06,27-29032021,27,2021-03-29,Immagine,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-27-29032021.pdf,
84028,Porto Empedocle,rossa,2021-04-01,2021-04-14,28-30032021,28,2021-03-30,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,
82077,Ventimiglia di Sicilia,rossa,2021-04-01,2021-04-14,28-30032021,28,2021-03-30,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,
84027,Palma di Montechiaro,rossa,2021-03-30,2021-04-06,28-30032021,28,2021-03-30,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,
86016,Regalbuto,rossa,2021-03-30,2021-04-06,28-30032021,28,2021-03-30,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,
88011,Scicli,rossa,2021-03-30,2021-04-06,28-30032021,28,2021-03-30,Testo,7,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-28-30032021.pdf,
82013,Borgetto,rossa,2021-04-02,2021-04-14,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
82030,Ciminna,rossa,2021-04-02,2021-04-14,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
84020,Lampedusa e Linosa,rossa,2021-04-02,2021-04-14,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
82047,Mezzojuso,rossa,2021-04-02,2021-04-14,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
82054,Partinico,rossa,2021-04-02,2021-04-14,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
89021,Priolo Gargallo,rossa,2021-04-02,2021-04-08,29-31032021,29,2021-03-31,Immagine,8,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-29-31032021.pdf,
